Año,Departamento,"Tasa de mortalidad por causas externas por 100,000 habitantes",Número de fallecidos en accidentes de tránsito,Número de denuncias de violencia intrafamiliar,Número de homicidios por departamento,Porcentaje de niños con bajo peso al nacer,"Tasa de mortalidad por diarrea (A09) por cada 100,000 habitantes","Tasa bruta de mortalidad por cada 1,000 habitantes","Tasa de mortalidad por diabetes mellitus (E10-E14) por cada 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema circulatorio (I00-I99) por 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema respiratorio (J00-J99) por cada 10,000 habitantes",0,,,,,,,,,,,,,,,,,
2016,Sololá,54.6,64,542,23,13.5,19.8,4.4,30.7,42.6,8.2,,,,,,,,,,,,,,,,,,
2016,Totonicapán,53.6,24,486,4,17.7,24.9,5.6,35.4,34.8,6.5,,,,,,,,,,,,,,,,,,
2016,Quetzaltenango,73.1,71,"1,898",129,18.9,7.9,5.9,50.5,94.8,6.3,,,,,,,,,,,,,,,,,,
2016,Suchitepéquez,64.0,87,"2,238",99,9.0,7.1,5.4,29.0,39.8,3.2,,,,,,,,,,,,,,,,,,
2016,Retalhuleu,71.5,46,"1,708",86,7.8,8.8,5.9,34.0,51.5,4.4,,,,,,,,,,,,,,,,,,
2016,San Marcos,49.7,52,"2,035",122,12.5,21.6,4.5,26.1,71.8,8.1,,,,,,,,,,,,,,,,,,
2016,Huehuetenango,45.3,65,"1,228",74,10.5,23.5,3.8,24.8,61.0,6.8,,,,,,,,,,,,,,,,,,
2016,Quiché,46.6,54,"1,002",27,12.9,24.4,4.1,18.0,39.4,5.8,,,,,,,,,,,,,,,,,,
2016,Baja Verapaz,70.2,34,771,28,13.7,8.4,4.9,31.4,113.8,7.1,,,,,,,,,,,,,,,,,,
2016,Alta Verapaz,43.7,70,"3,492",101,12.1,38.5,4.4,22.0,49.1,9.4,,,,,,,,,,,,,,,,,,
2016,Petén,95.4,94,"1,282",294,8.6,11.8,4.0,32.8,63.3,4.8,,,,,,,,,,,,,,,,,,
2016,Izabal,119.0,108,584,258,9.7,22.1,5.9,31.9,106.3,5.4,,,,,,,,,,,,,,,,,,
2016,Zacapa,126.7,78,538,157,13.9,11.0,6.7,47.4,194.3,5.9,,,,,,,,,,,,,,,,,,
2016,Chiquimula,94.6,61,429,229,12.0,10.1,5.4,34.0,139.7,6.9,,,,,,,,,,,,,,,,,,
2016,Jalapa,81.7,25,594,136,16.8,17.4,5.3,28.5,70.7,6.7,,,,,,,,,,,,,,,,,,
2016,Jutiapa,99.7,74,"1,059",175,11.8,3.7,5.7,41.9,173.6,4.3,,,,,,,,,,,,,,,,,,
2015,Guatemala,97.1,350,"6,410","1,550",13.4,5.1,6.1,54.3,100.4,4.9,,,,,,,,,,,,,,,,,,
2015,El Progreso,106.1,37,883,67,11.4,6.4,6.3,55.9,159.6,7.0,,,,,,,,,,,,,,,,,,
2015,Sacatepéquez,68.6,56,"1,613",54,16.1,1.5,4.8,43.5,76.2,5.1,,,,,,,,,,,,,,,,,,
2015,Chimaltenango,59.6,54,"1,824",120,14.9,5.4,4.4,32.4,65.6,6.9,,,,,,,,,,,,,,,,,,
2015,Escuintla,133.1,234,451,600,10.0,5.9,6.7,62.5,105.3,6.3,,,,,,,,,,,,,,,,,,
2015,Santa Rosa,102.3,58,964,189,11.8,5.5,5.9,43.5,117.7,5.0,,,,,,,,,,,,,,,,,,
2015,Sololá,61.8,49,646,18,12.0,13.5,4.4,27.5,38.8,8.2,,,,,,,,,,,,,,,,,,
2015,Totonicapán,59.4,30,519,13,16.7,26.9,5.5,38.5,51.1,10.5,,,,,,,,,,,,,,,,,,
2015,Quetzaltenango,74.3,82,"1,790",153,20.0,7.4,5.5,50.3,91.3,5.6,,,,,,,,,,,,,,,,,,
2015,Suchitepéquez,72.7,86,"2,250",137,9.1,4.9,5.8,33.7,40.1,3.8,,,,,,,,,,,,,,,,,,
2015,Retalhuleu,84.7,56,"1,512",112,8.0,6.9,6.0,46.4,70.0,5.0,,,,,,,,,,,,,,,,,,
2015,San Marcos,55.3,41,"2,072",123,13.7,24.0,4.8,31.4,75.9,8.2,,,,,,,,,,,,,,,,,,
2015,Huehuetenango,42.8,28,"1,024",87,9.6,24.1,3.7,26.4,53.7,6.8,,,,,,,,,,,,,,,,,,
2015,Quiché,47.1,41,"1,095",30,13.6,22.2,4.2,18.1,40.4,6.8,,,,,,,,,,,,,,,,,,
2015,Baja Verapaz,59.5,18,874,23,14.3,11.9,4.7,26.9,106.4,7.0,,,,,,,,,,,,,,,,,,
2015,Alta Verapaz,47.5,82,"3,485",99,11.3,37.8,4.2,17.7,44.7,9.6,,,,,,,,,,,,,,,,,,
2015,Petén,97.2,88,"1,295",326,8.0,7.8,3.8,36.2,52.4,3.6,,,,,,,,,,,,,,,,,,
2015,Izabal,115.5,86,580,259,9.3,11.8,5.5,37.8,98.0,4.3,,,,,,,,,,,,,,,,,,
2015,Zacapa,123.6,46,606,184,12.6,5.5,6.1,44.0,176.8,6.0,,,,,,,,,,,,,,,,,,
2015,Chiquimula,114.4,62,399,286,12.1,5.0,5.6,35.1,132.5,7.5,,,,,,,,,,,,,,,,,,
2015,Jalapa,91.9,27,732,151,17.6,16.2,5.2,28.3,106.8,6.0,,,,,,,,,,,,,,,,,,
2015,Jutiapa,97.4,68,862,197,11.6,5.5,5.8,45.0,169.3,4.8,,,,,,,,,,,,,,,,,,
2014,Guatemala,101.3,327,"5,777","1,776",12.9,5.8,6.2,56.5,100.7,4.6,,,,,,,,,,,,,,,,,,
2014,El Progreso,99.3,36,"1,081",68,11.1,4.4,6.0,50.7,165.3,5.3,,,,,,,,,,,,,,,,,,
2014,Sacatepéquez,66.0,37,"1,584",62,16.1,3.4,4.9,56.5,75.6,6.5,,,,,,,,,,,,,,,,,,
2014,Chimaltenango,61.4,80,"1,924",104,14.2,8.2,4.5,32.5,70.7,7.7,,,,,,,,,,,,,,,,,,
2014,Escuintla,124.5,173,569,555,9.6,6.7,6.5,60.6,95.6,5.3,,,,,,,,,,,,,,,,,,
2014,Santa Rosa,116.4,71,"1,321",196,11.1,4.6,5.6,35.2,121.8,4.3,,,,,,,,,,,,,,,,,,
2014,Sololá,58.2,31,996,18,12.7,17.0,4.4,29.8,41.3,9.0,,,,,,,,,,,,,,,,,,
2014,Totonicapán,62.0,27,634,19,16.8,29.2,5.1,33.5,60.5,10.6,,,,,,,,,,,,,,,,,,
2014,Quetzaltenango,76.8,67,"1,708",169,19.3,10.3,5.3,56.9,88.0,5.7,,,,,,,,,,,,,,,,,,
2014,Suchitepéquez,78.4,60,"2,503",182,8.2,6.4,5.5,44.7,60.1,5.2,,,,,,,,,,,,,,,,,,
2014,Retalhuleu,81.8,43,"1,715",120,8.8,10.7,5.6,54.5,94.7,4.9,,,,,,,,,,,,,,,,,,
2014,San Marcos,58.1,50,"2,210",130,13.1,17.3,4.5,27.4,73.6,7.4,,,,,,,,,,,,,,,,,,
2014,Huehuetenango,48.6,56,"1,385",86,9.6,21.9,3.6,23.2,56.6,6.7,,,,,,,,,,,,,,,,,,
2014,Quiché,54.7,34,"1,158",48,13.3,27.4,4.1,24.6,43.1,7.3,,,,,,,,,,,,,,,,,,
2014,Baja Verapaz,67.0,11,"1,265",35,14.6,17.3,4.4,20.3,107.8,6.2,,,,,,,,,,,,,,,,,,
2014,Alta Verapaz,47.7,61,"3,253",113,11.7,35.9,4.2,16.9,45.4,8.4,,,,,,,,,,,,,,,,,,
2014,Petén,98.1,72,981,317,7.6,15.4,3.6,31.6,55.9,3.2,,,,,,,,,,,,,,,,,,
2014,Izabal,115.2,77,672,234,9.1,14.8,5.4,41.2,90.5,3.9,,,,,,,,,,,,,,,,,,
2014,Zacapa,122.5,36,703,170,13.0,4.3,6.1,47.1,171.2,5.2,,,,,,,,,,,,,,,,,,
2014,Chiquimula,94.5,28,465,239,13.6,7.6,5.2,26.7,128.3,7.0,,,,,,,,,,,,,,,,,,
2014,Jalapa,94.1,15,976,144,16.3,25.0,5.0,25.8,111.4,6.4,,,,,,,,,,,,,,,,,,
2014,Jutiapa,109.8,63,"1,353",213,10.7,2.6,5.6,48.4,161.9,3.7,,,,,,,,,,,,,,,,,,
2013,Guatemala,97.4,159,"6,581","1,685",12.3,5.2,6.1,56.3,96.0,4.8,,,,,,,,,,,,,,,,,,
2013,El Progreso,96.9,14,"1,142",74,10.9,5.8,5.6,38.8,155.1,5.2,,,,,,,,,,,,,,,,,,
2013,Sacatepéquez,60.9,18,"1,783",50,13.8,8.2,5.0,54.0,81.4,6.0,,,,,,,,,,,,,,,,,,
2013,Chimaltenango,73.9,69,"1,723",96,13.9,8.6,4.4,28.5,72.6,7.3,,,,,,,,,,,,,,,,,,
2013,Escuintla,131.1,85,794,616,9.2,6.6,6.3,51.8,96.0,6.4,,,,,,,,,,,,,,,,,,
2013,Santa Rosa,125.7,38,"1,441",221,11.2,5.7,5.8,32.1,105.7,5.0,,,,,,,,,,,,,,,,,,
2013,Sololá,63.6,4,"1,062",24,11.2,19.1,4.5,26.1,43.2,10.1,,,,,,,,,,,,,,,,,,
2013,Totonicapán,63.7,5,571,19,15.3,26.7,5.1,23.5,70.9,11.4,,,,,,,,,,,,,,,,,,
2013,Quetzaltenango,81.7,37,"2,057",175,17.0,12.9,5.1,47.6,84.6,6.8,,,,,,,,,,,,,,,,,,
2013,Suchitepéquez,75.0,27,"2,489",151,7.6,8.4,5.3,32.4,33.9,2.9,,,,,,,,,,,,,,,,,,
2013,Retalhuleu,79.7,30,"1,640",85,9.1,15.6,5.7,55.9,89.2,5.3,,,,,,,,,,,,,,,,,,
2013,San Marcos,55.0,19,"2,338",153,11.4,22.3,4.4,20.8,65.7,7.5,,,,,,,,,,,,,,,,,,
2013,Huehuetenango,50.6,34,"1,848",121,9.2,25.1,3.8,19.5,58.3,7.2,,,,,,,,,,,,,,,,,,
2013,Quiché,57.5,18,741,56,12.9,26.7,4.2,19.3,48.9,8.8,,,,,,,,,,,,,,,,,,
2013,Baja Verapaz,67.6,10,"1,195",28,14.6,10.1,4.6,23.1,97.8,7.5,,,,,,,,,,,,,,,,,,
2013,Alta Verapaz,47.9,27,"3,343",125,11.8,37.7,4.0,15.7,46.4,8.4,,,,,,,,,,,,,,,,,,
2013,Petén,102.5,33,"1,086",351,7.7,15.4,3.8,25.5,52.0,4.1,,,,,,,,,,,,,,,,,,
2013,Izabal,126.7,47,814,317,8.4,18.0,5.3,34.3,88.6,4.2,,,,,,,,,,,,,,,,,,
2013,Zacapa,142.8,27,757,193,13.6,4.8,6.1,41.9,159.8,5.2,,,,,,,,,,,,,,,,,,
2013,Chiquimula,130.9,18,443,309,12.8,13.7,5.8,29.1,122.2,9.0,,,,,,,,,,,,,,,,,,
2013,Jalapa,98.5,12,840,159,14.7,19.6,5.4,29.7,126.6,9.4,,,,,,,,,,,,,,,,,,
2013,Jutiapa,117.6,38,"1,203",245,10.6,5.3,5.7,41.2,156.0,4.2,,,,,,,,,,,,,,,,,,
2012,Guatemala,99.8,136,"6,911","1,741",12.1,4.8,5.5,52.4,92.4,4.0,,,,,,,,,,,,,,,,,,
2012,El Progreso,104.3,16,"1,039",72,10.1,4.5,5.4,51.8,136.2,4.7,,,,,,,,,,,,,,,,,,
2012,Sacatepéquez,62.6,12,"1,651",76,13.5,8.7,4.8,42.6,86.8,5.5,,,,,,,,,,,,,,,,,,
2012,Chimaltenango,60.5,26,"1,785",95,12.6,7.6,4.5,27.5,75.4,6.4,,,,,,,,,,,,,,,,,,
2012,Escuintla,142.4,99,"1,169",559,9.4,9.8,6.2,48.1,92.4,5.1,,,,,,,,,,,,,,,,,,
2012,Santa Rosa,139.2,29,"1,082",229,11.0,7.1,5.6,34.2,109.1,4.4,,,,,,,,,,,,,,,,,,
2012,Sololá,52.9,16,"1,106",30,11.0,13.2,4.1,21.2,42.9,8.6,,,,,,,,,,,,,,,,,,
2012,Totonicapán,63.0,6,581,22,14.3,26.9,5.5,26.7,75.3,13.3,,,,,,,,,,,,,,,,,,
2012,Quetzaltenango,82.3,32,"1,706",185,18.6,10.5,5.2,52.6,81.1,5.0,,,,,,,,,,,,,,,,,,
2012,Suchitepéquez,71.6,24,"2,262",115,7.3,12.1,5.3,31.8,39.0,4.1,,,,,,,,,,,,,,,,,,
2012,Retalhuleu,70.0,7,"1,565",53,8.5,12.3,5.2,43.3,85.4,5.4,,,,,,,,,,,,,,,,,,
2012,San Marcos,55.9,14,"2,677",135,11.6,25.2,4.7,21.9,72.6,8.5,,,,,,,,,,,,,,,,,,
2012,Huehuetenango,51.6,34,"1,782",145,8.5,21.7,3.6,17.6,48.9,7.3,,,,,,,,,,,,,,,,,,
2012,Quiché,58.5,21,"1,180",55,12.1,35.6,4.3,15.1,44.0,8.2,,,,,,,,,,,,,,,,,,
2012,Baja Verapaz,65.1,9,"1,151",33,14.0,11.3,4.7,25.8,108.8,7.7,,,,,,,,,,,,,,,,,,
2012,Alta Verapaz,47.5,18,"3,120",115,11.0,32.4,4.1,14.2,48.2,7.7,,,,,,,,,,,,,,,,,,
2012,Petén,95.4,31,"1,049",330,7.4,8.3,3.4,21.5,38.8,3.0,,,,,,,,,,,,,,,,,,
2012,Izabal,102.2,35,744,250,7.8,15.5,4.8,33.6,86.1,3.2,,,,,,,,,,,,,,,,,,
2012,Zacapa,135.7,32,654,167,13.2,6.5,6.0,55.2,155.6,4.9,,,,,,,,,,,,,,,,,,
2012,Chiquimula,137.6,26,391,339,11.4,13.8,5.4,28.9,125.8,6.2,,,,,,,,,,,,,,,,,,
2012,Jalapa,102.6,13,"1,132",173,13.3,16.5,5.1,29.5,111.8,5.7,,,,,,,,,,,,,,,,,,
2012,Jutiapa,110.9,29,"1,192",236,10.3,7.9,5.3,38.8,146.7,3.8,,,,,,,,,,,,,,,,,,
2011,Guatemala,110.9,103,"6,122","2,108",11.7,8.1,6.1,49.4,98.0,4.6,,,,,,,,,,,,,,,,,,
2011,El Progreso,98.1,14,"1,101",56,9.6,9.5,5.6,38.5,138.7,6.6,,,,,,,,,,,,,,,,,,
2011,Sacatepéquez,63.0,17,"1,492",64,13.5,8.0,5.0,43.7,85.1,6.9,,,,,,,,,,,,,,,,,,
2011,Chimaltenango,62.1,14,"1,920",115,12.9,7.9,4.4,24.1,74.7,6.9,,,,,,,,,,,,,,,,,,
2011,Escuintla,128.0,70,"1,088",557,8.7,25.0,6.0,46.2,74.6,5.4,,,,,,,,,,,,,,,,,,
2011,Santa Rosa,141.4,29,857,261,9.6,3.7,5.7,34.8,107.4,5.1,,,,,,,,,,,,,,,,,,
2011,Sololá,53.8,11,882,19,9.9,14.5,3.9,17.9,36.2,8.4,,,,,,,,,,,,,,,,,,
2011,Totonicapán,63.5,8,627,30,13.3,27.5,5.1,23.8,66.7,12.5,,,,,,,,,,,,,,,,,,
2011,Quetzaltenango,84.9,21,"1,628",198,17.5,7.4,5.2,49.9,68.1,5.6,,,,,,,,,,,,,,,,,,
2011,Suchitepéquez,73.3,17,"1,957",149,7.4,11.9,5.2,31.0,40.6,6.1,,,,,,,,,,,,,,,,,,
2011,Retalhuleu,73.4,10,"1,263",58,9.0,10.2,5.0,47.9,81.9,4.9,,,,,,,,,,,,,,,,,,
2011,San Marcos,60.7,42,"2,272",155,10.9,19.8,4.5,23.5,66.3,7.7,,,,,,,,,,,,,,,,,,
2011,Huehuetenango,56.6,38,"1,326",210,7.8,24.7,3.8,16.3,44.5,7.7,,,,,,,,,,,,,,,,,,
2011,Quiché,54.9,24,"1,676",54,12.4,38.7,4.1,16.2,44.9,8.2,,,,,,,,,,,,,,,,,,
2011,Baja Verapaz,79.5,11,"1,031",54,13.8,16.0,4.7,23.2,95.7,9.2,,,,,,,,,,,,,,,,,,
2011,Alta Verapaz,52.5,20,"2,639",130,10.4,27.9,3.7,14.0,39.1,7.2,,,,,,,,,,,,,,,,,,
2011,Petén,94.4,33,"1,090",303,7.0,6.5,3.5,24.7,39.8,3.2,,,,,,,,,,,,,,,,,,
2011,Izabal,106.4,33,844,260,7.1,14.1,5.0,34.7,78.0,3.4,,,,,,,,,,,,,,,,,,
2011,Zacapa,144.6,21,682,208,13.1,5.4,6.2,48.6,158.7,4.0,,,,,,,,,,,,,,,,,,
2011,Chiquimula,121.9,16,473,278,10.8,11.5,5.5,26.8,117.3,8.3,,,,,,,,,,,,,,,,,,
2011,Jalapa,101.0,21,"1,244",131,13.1,24.7,5.2,20.3,118.2,8.4,,,,,,,,,,,,,,,,,,
2011,Jutiapa,120.9,32,"1,006",283,10.3,5.9,5.5,32.4,155.8,4.2,,,,,,,,,,,,,,,,,,
2010,Guatemala,119.5,135,"5,792","2,423",11.9,7.4,6.1,52.7,88.1,4.8,,,,,,,,,,,,,,,,,,
2010,El Progreso,108.7,47,"1,101",56,9.7,9.8,5.8,39.9,141.9,5.7,,,,,,,,,,,,,,,,,,
2010,Sacatepéquez,65.2,13,"1,356",70,12.8,8.3,4.9,44.1,75.7,6.1,,,,,,,,,,,,,,,,,,
2010,Chimaltenango,59.9,23,"1,690",95,10.8,7.5,4.5,26.3,72.6,7.0,,,,,,,,,,,,,,,,,,
2010,Escuintla,129.0,95,"1,163",534,8.5,28.0,5.9,39.5,71.4,5.0,,,,,,,,,,,,,,,,,,
2010,Santa Rosa,123.4,32,953,225,9.9,7.7,5.7,39.2,131.7,5.4,,,,,,,,,,,,,,,,,,
2010,Sololá,58.3,7,994,27,8.8,12.0,3.9,19.2,34.1,7.5,,,,,,,,,,,,,,,,,,
2010,Totonicapán,48.5,7,686,20,13.5,30.4,5.5,24.8,64.9,13.8,,,,,,,,,,,,,,,,,,
2010,Quetzaltenango,73.7,45,"1,661",180,16.5,9.3,5.2,42.3,60.6,5.9,,,,,,,,,,,,,,,,,,
2010,Suchitepéquez,79.0,20,"1,723",166,6.0,14.3,5.4,30.3,42.5,6.5,,,,,,,,,,,,,,,,,,
2010,Retalhuleu,76.5,8,"1,173",65,6.1,11.2,4.9,49.6,66.0,4.4,,,,,,,,,,,,,,,,,,
2010,San Marcos,55.9,22,"2,207",165,9.4,20.9,4.7,20.6,54.0,9.1,,,,,,,,,,,,,,,,,,
2010,Huehuetenango,52.5,38,"1,175",177,6.8,28.5,4.0,17.2,41.3,7.7,,,,,,,,,,,,,,,,,,
2010,Quiché,55.8,23,"1,622",68,10.7,40.6,4.5,15.1,39.8,9.4,,,,,,,,,,,,,,,,,,
2010,Baja Verapaz,73.6,19,"1,059",48,13.0,19.3,4.8,19.1,94.1,8.4,,,,,,,,,,,,,,,,,,
2010,Alta Verapaz,62.0,22,"2,501",186,9.7,31.1,4.5,13.7,37.9,9.0,,,,,,,,,,,,,,,,,,
2010,Petén,104.0,51,914,366,6.9,7.8,3.5,17.1,36.7,3.3,,,,,,,,,,,,,,,,,,
2010,Izabal,109.3,38,937,258,7.2,21.9,5.0,36.6,79.8,4.8,,,,,,,,,,,,,,,,,,
2010,Zacapa,121.7,26,628,166,13.1,8.1,5.8,42.8,147.7,4.6,,,,,,,,,,,,,,,,,,
2010,Chiquimula,117.5,32,777,282,10.1,16.8,5.6,31.9,117.0,8.0,,,,,,,,,,,,,,,,,,
2010,Jalapa,97.3,11,856,150,12.1,23.3,5.1,27.7,108.0,7.8,,,,,,,,,,,,,,,,,,
2010,Jutiapa,118.8,23,803,233,9.0,9.8,5.4,35.0,148.9,3.8,,,,,,,,,,,,,,,,,,
